iter	Passed	Remaining
401	17703	26334
402	17746	26288
403	17787	26241
404	17830	26196
405	17868	26142
406	17913	26099
407	17951	26047
408	17996	26004
409	18038	25958
410	18083	25915
411	18126	25870
412	18169	25824
413	18207	25772
414	18246	25720
415	18292	25679
416	18337	25636
417	18381	25593
418	18426	25550
419	18470	25506
420	18512	25459
421	18554	25413
422	18596	25366
423	18640	25323
424	18684	25279
425	18727	25234
426	18772	25191
427	18815	25145
428	18858	25100
429	18900	25054
430	18949	25016
431	18991	24970
432	19035	24926
433	19077	24880
434	19124	24839
435	19168	24796
436	19208	24747
437	19253	24704
438	19296	24658
439	19339	24614
440	19382	24568
441	19428	24527
442	19469	24479
443	19510	24431
444	19553	24387
445	19596	24341
446	19639	24296
447	19681	24250
448	19725	24206
449	19768	24161
450	19811	24115
451	19852	24069
452	19896	24025
453	19940	23980
454	19982	23935
455	20025	23890
456	20063	23838
457	20107	23795
458	20150	23749
459	20192	23704
460	20235	23658
461	20276	23611
462	20317	23564
463	20360	23519
464	20402	23474
465	20447	23431
466	20488	23384
467	20532	23340
468	20575	23295
469	20622	23254
470	20668	23214
471	20711	23169
472	20755	23125
473	20797	23078
474	20839	23033
475	20883	22989
476	20927	22945
477	20970	22901
478	21015	22858
479	21056	22811
480	21100	22767
481	21144	22724
482	21187	22678
483	21230	22633
484	21275	22590
485	21317	22545
486	21361	22501
487	21404	22456
488	21446	22411
489	21489	22366
490	21531	22321
491	21574	22275
492	21612	22225
493	21653	22179
494	21697	22135
495	21738	22089
496	21781	22043
497	21823	21998
498	21866	21953
499	21909	21909
500	21951	21863
501	21994	21818
502	22035	21772
503	22079	21729
504	22123	21685
505	22161	21636
506	22204	21591
507	22248	21547
508	22290	21502
509	22333	21457
510	22374	21411
511	22418	21367
512	22460	21321
513	22502	21276
514	22546	21233
515	22584	21184
516	22630	21141
517	22673	21097
518	22715	21052
519	22758	21007
520	22800	20962
521	22843	20917
522	22885	20872
523	22929	20828
524	22971	20784
525	23016	20741
526	23058	20695
527	23099	20649
528	23142	20604
529	23183	20559
530	23226	20514
531	23267	20468
532	23310	20423
533	23351	20378
