iter	Logloss
0	0.6501563904
1	0.6184756152
2	0.5888033776
3	0.561246136
4	0.5360742846
5	0.5144621278
6	0.4938730505
7	0.4754841127
8	0.4601344605
9	0.4449872985
10	0.4323286802
11	0.4213658097
12	0.4117054547
13	0.4024832488
14	0.3951252804
15	0.3889188714
16	0.3836684938
17	0.3772328554
18	0.3731060777
19	0.3680798053
20	0.3643984923
21	0.3605191072
22	0.3575576246
23	0.3545242425
24	0.3522102575
25	0.3497849014
26	0.346869133
27	0.3442373221
28	0.3417154595
29	0.3396043513
30	0.3376786825
31	0.3359868028
32	0.3347573255
33	0.3335047825
34	0.3325904093
35	0.3311601891
36	0.3302295324
37	0.3284742203
38	0.3272564006
39	0.3262504212
40	0.3248141569
41	0.3238668586
42	0.3228207294
43	0.3217464457
44	0.3208581288
45	0.3198751875
46	0.3190890611
47	0.3182110339
48	0.3174837779
49	0.3166609087
50	0.3160396481
51	0.3154211613
52	0.3145089044
53	0.3140436581
54	0.313579246
55	0.312964795
56	0.3121749819
57	0.3115272165
58	0.3111262659
59	0.3105291534
60	0.3099283708
61	0.3093981346
62	0.3089656262
63	0.3085357852
64	0.3079663769
65	0.3074864938
66	0.307284205
67	0.3069419704
68	0.3066156733
69	0.3064662457
70	0.306157787
71	0.305811866
72	0.3055783015
73	0.3051560791
74	0.3048616167
75	0.3045630227
76	0.3042301219
77	0.3038380334
78	0.303563647
79	0.3032191618
80	0.3027966602
81	0.3024008605
82	0.3018590892
83	0.3015149051
84	0.3013649328
85	0.3011288185
86	0.3008856889
87	0.3007240333
88	0.2999333764
89	0.2997206111
90	0.2995103757
91	0.2990517206
92	0.2987516077
93	0.2984961331
94	0.2983359367
95	0.2980479125
96	0.2977370755
97	0.2974804743
98	0.2972698629
99	0.2969932271
100	0.2968136063
101	0.296659587
102	0.2964922304
103	0.2963366173
104	0.2960949361
105	0.2959431111
106	0.2957874422
107	0.2955743022
108	0.2954351999
109	0.2953077263
110	0.2951466595
111	0.2949265134
112	0.294697089
113	0.294537003
114	0.2941889446
115	0.2940098809
116	0.2937642389
117	0.2934338106
118	0.2932757869
119	0.2930991566
120	0.2928756429
121	0.2927079729
122	0.292532159
123	0.2923617797
124	0.2921934659
125	0.2920468346
126	0.2919277577
127	0.291685546
128	0.291590742
129	0.2914571391
130	0.2912758323
131	0.291187554
132	0.2910762196
133	0.2909324128
134	0.2908231475
135	0.2907030925
136	0.2905125614
137	0.2904258792
138	0.2903373237
139	0.2902440361
140	0.2900840841
141	0.2899928136
142	0.2898973116
143	0.2897556427
144	0.2896229438
145	0.2895065185
146	0.289475452
147	0.289423709
148	0.2893268663
149	0.289091487
150	0.2889676077
151	0.2888243287
152	0.2887381791
153	0.2886196765
154	0.2882501161
155	0.2881583214
156	0.2880557106
157	0.2879521582
158	0.2878177651
159	0.2876705196
160	0.2875302777
161	0.2874024376
162	0.287295476
163	0.2871818559
164	0.2870526352
165	0.2868984117
166	0.2867767605
167	0.2867280095
168	0.2866816401
169	0.286547212
170	0.2864415534
171	0.2863243963
172	0.2860423623
173	0.2859943004
174	0.2858457182
175	0.2856600263
176	0.2855140187
177	0.2853435416
178	0.2852253484
179	0.2851191658
180	0.284982488
181	0.2848995699
182	0.2847885836
183	0.2846603022
184	0.2846234001
185	0.2844975028
186	0.2844183074
187	0.2842033847
188	0.2841029888
189	0.2840233297
190	0.2839734376
191	0.2839021712
192	0.2838029492
193	0.2837136059
194	0.2836410059
195	0.2835677772
196	0.2834934061
197	0.2834092027
198	0.2833165407
199	0.2831823354
200	0.2831510473
201	0.2830945523
202	0.2830045083
203	0.2829418746
204	0.282884803
205	0.2827558846
206	0.2826446966
207	0.28246116
208	0.2823781308
209	0.2822310098
210	0.2821602561
211	0.2820282687
212	0.2819284861
213	0.2817390771
214	0.2816191051
215	0.2815746541
216	0.2814677389
217	0.2814206164
218	0.281368487
219	0.2812590854
220	0.2811515523
221	0.2810268813
222	0.2809778614
223	0.280956874
224	0.2808844008
225	0.2808440442
226	0.280745732
227	0.2806756236
228	0.2806101841
229	0.280504382
230	0.2804691352
231	0.2804116133
232	0.2803311704
233	0.2802259339
234	0.2801828503
235	0.2800925301
236	0.2800391886
237	0.2798512934
238	0.2797155086
239	0.2796657108
240	0.2796106197
241	0.279556553
242	0.2794310356
243	0.2793249734
244	0.279306071
245	0.2792118053
246	0.2791520394
247	0.2790772203
248	0.278854807
249	0.2788059795
250	0.2787686638
251	0.2786855178
252	0.278620849
253	0.2785081655
254	0.2784235987
255	0.2782919643
256	0.2782304105
257	0.2781448775
258	0.2780473876
259	0.2780180986
260	0.2778729087
261	0.2778022555
262	0.2777518051
263	0.2776663727
264	0.2776024393
265	0.2775456984
266	0.2774945589
267	0.2774462482
268	0.2773072028
269	0.2771174159
270	0.2770636046
271	0.2770004833
272	0.2769054282
273	0.2768508053
274	0.2768147358
275	0.2765782508
276	0.2765301519
277	0.2764908443
278	0.276396888
279	0.2762728991
280	0.276194268
281	0.2760931586
282	0.2759567407
283	0.2759109197
284	0.2758523885
285	0.2757894785
286	0.2757656967
287	0.2756254676
288	0.2755661307
289	0.2754825294
290	0.2754174725
291	0.2753812454
292	0.2753174417
293	0.2752341603
294	0.2749753889
295	0.2748311152
296	0.274706913
297	0.2746778049
298	0.2746134868
299	0.2745500369
300	0.2743681445
301	0.2742364138
302	0.2741599423
303	0.2741135024
304	0.2740785721
